sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
439,5/2/21 9:00,0.5,1.2,-49,-49,3.99
440,5/2/21 9:10,0.5,1.5,-49,-49,3.99
441,5/2/21 9:20,0.5,1.5,-49,-49,3.99
442,5/2/21 9:30,0.5,1.9,-49,-49,3.99
443,5/2/21 9:40,0.5,1.9,-49,-49,3.99
444,5/2/21 9:50,0.5,2.2,-49,-49,3.99
445,5/2/21 10:00,0.5,2.2,-49,-49,3.99
446,5/2/21 10:10,0.5,1.9,-49,-49,3.99
447,5/2/21 10:20,0.5,1.5,-49,-49,3.99
448,5/2/21 10:30,0.5,1.2,-49,-49,3.99
449,5/2/21 10:40,0.5,1.2,-49,-49,3.99
450,5/2/21 10:50,0.5,1.2,-49,-49,3.99
451,5/2/21 11:00,0.5,1.2,-49,-49,3.99
452,5/2/21 11:10,0.5,1.2,-49,-49,3.99
453,5/2/21 11:20,0.5,1.5,-49,-49,3.99
454,5/2/21 11:30,0.5,1.9,-49,-49,3.99
455,5/2/21 11:40,0.5,1.9,-49,-49,3.99
456,5/2/21 11:50,0.5,2.2,-49,-49,3.99
