"Plot Title: 20879900"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879900, SEN S/N: 20879900)","Temp, °C (LGR S/N: 20879900, SEN S/N: 20879900)","Coupler Detached (LGR S/N: 20879900)","Coupler Attached (LGR S/N: 20879900)","Host Connected (LGR S/N: 20879900)","Stopped (LGR S/N: 20879900)","End Of File (LGR S/N: 20879900)"
264,09/18/20 12:40:00 PM,70.531,14.613,,,,,
265,09/18/20 12:50:00 PM,70.537,14.517,,,,,
266,09/18/20 01:00:00 PM,70.536,14.230,,,,,
267,09/18/20 01:10:00 PM,70.525,13.942,,,,,
268,09/18/20 01:20:00 PM,70.511,13.846,,,,,
269,09/18/20 01:30:00 PM,70.509,14.038,,,,,
270,09/18/20 01:40:00 PM,70.477,14.230,,,,,
271,09/18/20 01:50:00 PM,70.473,14.134,,,,,
272,09/18/20 02:00:00 PM,70.486,13.942,,,,,
273,09/18/20 02:10:00 PM,70.453,13.846,,,,,
274,09/18/20 02:20:00 PM,70.445,13.654,,,,,
275,09/18/20 02:30:00 PM,70.435,13.654,,,,,
276,09/18/20 02:40:00 PM,70.432,13.558,,,,,
277,09/18/20 02:50:00 PM,70.422,13.558,,,,,
278,09/18/20 03:00:00 PM,70.402,13.558,,,,,
279,09/18/20 03:10:00 PM,70.406,13.654,,,,,
280,09/18/20 03:20:00 PM,70.394,13.846,,,,,
281,09/18/20 03:30:00 PM,70.401,14.038,,,,,
282,09/18/20 03:40:00 PM,70.405,14.134,,,,,
283,09/18/20 03:50:00 PM,70.411,14.038,,,,,
284,09/18/20 04:00:00 PM,70.407,13.942,,,,,
285,09/18/20 04:10:00 PM,70.394,13.846,,,,,
286,09/18/20 04:20:00 PM,70.386,13.654,,,,,
287,09/18/20 04:30:00 PM,70.393,13.558,,,,,
288,09/18/20 04:40:00 PM,70.379,13.461,,,,,
289,09/18/20 04:50:00 PM,70.371,13.269,,,,,
290,09/18/20 05:00:00 PM,70.354,13.076,,,,,
291,09/18/20 05:10:00 PM,70.378,12.690,,,,,
292,09/18/20 05:20:00 PM,70.347,12.401,,,,,
293,09/18/20 05:30:00 PM,70.350,12.013,,,,,
294,09/18/20 05:40:00 PM,70.348,11.722,,,,,
295,09/18/20 05:50:00 PM,70.340,11.528,,,,,
296,09/18/20 06:00:00 PM,70.357,11.236,,,,,
297,09/18/20 06:10:00 PM,70.343,11.139,,,,,
298,09/18/20 06:20:00 PM,70.355,10.944,,,,,
299,09/18/20 06:30:00 PM,70.342,10.651,,,,,
300,09/18/20 06:40:00 PM,70.349,10.357,,,,,
301,09/18/20 06:50:00 PM,70.342,9.965,,,,,
302,09/18/20 07:00:00 PM,70.334,9.571,,,,,
303,09/18/20 07:10:00 PM,70.331,9.275,,,,,
304,09/18/20 07:20:00 PM,70.337,8.978,,,,,
305,09/18/20 07:30:00 PM,70.349,8.581,,,,,
306,09/18/20 07:40:00 PM,70.345,8.282,,,,,
307,09/18/20 07:50:00 PM,70.341,7.983,,,,,
308,09/18/20 08:00:00 PM,70.351,7.782,,,,,
309,09/18/20 08:10:00 PM,70.347,7.481,,,,,
310,09/18/20 08:20:00 PM,70.361,7.381,,,,,
311,09/18/20 08:30:00 PM,70.371,7.179,,,,,
312,09/18/20 08:40:00 PM,70.372,6.978,,,,,
313,09/18/20 08:50:00 PM,70.376,6.877,,,,,
314,09/18/20 09:00:00 PM,70.367,6.674,,,,,
315,09/18/20 09:10:00 PM,70.381,6.573,,,,,
316,09/18/20 09:20:00 PM,70.367,6.471,,,,,
317,09/18/20 09:30:00 PM,70.362,6.370,,,,,
318,09/18/20 09:40:00 PM,70.357,6.268,,,,,
319,09/18/20 09:50:00 PM,70.347,6.268,,,,,
320,09/18/20 10:00:00 PM,70.371,6.166,,,,,
321,09/18/20 10:10:00 PM,70.357,6.064,,,,,
322,09/18/20 10:20:00 PM,70.357,6.064,,,,,
323,09/18/20 10:30:00 PM,70.356,5.860,,,,,
324,09/18/20 10:40:00 PM,70.346,5.655,,,,,
325,09/18/20 10:50:00 PM,70.336,5.450,,,,,
326,09/18/20 11:00:00 PM,70.336,5.244,,,,,
327,09/18/20 11:10:00 PM,70.340,4.934,,,,,
328,09/18/20 11:20:00 PM,70.339,4.727,,,,,
329,09/18/20 11:30:00 PM,70.328,4.519,,,,,
330,09/18/20 11:40:00 PM,70.328,4.311,,,,,
331,09/18/20 11:50:00 PM,70.327,4.102,,,,,
332,09/19/20 12:00:00 AM,70.331,3.998,,,,,
333,09/19/20 12:10:00 AM,70.316,3.893,,,,,
334,09/19/20 12:20:00 AM,70.291,3.788,,,,,
335,09/19/20 12:30:00 AM,70.305,3.683,,,,,
336,09/19/20 12:40:00 AM,70.299,3.578,,,,,
337,09/19/20 12:50:00 AM,70.309,3.578,,,,,
338,09/19/20 01:00:00 AM,70.294,3.472,,,,,
339,09/19/20 01:10:00 AM,70.284,3.472,,,,,
340,09/19/20 01:20:00 AM,70.284,3.472,,,,,
341,09/19/20 01:30:00 AM,70.290,3.578,,,,,
342,09/19/20 01:40:00 AM,70.295,3.683,,,,,
343,09/19/20 01:50:00 AM,70.291,3.788,,,,,
344,09/19/20 02:00:00 AM,70.277,3.893,,,,,
345,09/19/20 02:10:00 AM,70.257,3.893,,,,,
346,09/19/20 02:20:00 AM,70.263,3.998,,,,,
347,09/19/20 02:30:00 AM,70.258,4.102,,,,,
348,09/19/20 02:40:00 AM,70.264,4.207,,,,,
349,09/19/20 02:50:00 AM,70.264,4.207,,,,,
350,09/19/20 03:00:00 AM,70.239,4.102,,,,,
351,09/19/20 03:10:00 AM,70.243,3.998,,,,,
352,09/19/20 03:20:00 AM,70.238,3.893,,,,,
353,09/19/20 03:30:00 AM,70.242,3.788,,,,,
354,09/19/20 03:40:00 AM,70.232,3.788,,,,,
355,09/19/20 03:50:00 AM,70.223,3.788,,,,,
356,09/19/20 04:00:00 AM,70.213,3.788,,,,,
357,09/19/20 04:10:00 AM,70.209,3.893,,,,,
358,09/19/20 04:20:00 AM,70.210,4.102,,,,,
359,09/19/20 04:30:00 AM,70.196,4.207,,,,,
360,09/19/20 04:40:00 AM,70.216,4.415,,,,,
361,09/19/20 04:50:00 AM,70.197,4.415,,,,,
362,09/19/20 05:00:00 AM,70.202,4.519,,,,,
363,09/19/20 05:10:00 AM,70.212,4.519,,,,,
364,09/19/20 05:20:00 AM,70.206,4.415,,,,,
365,09/19/20 05:30:00 AM,70.216,4.415,,,,,
366,09/19/20 05:40:00 AM,70.201,4.311,,,,,
367,09/19/20 05:50:00 AM,70.196,4.207,,,,,
368,09/19/20 06:00:00 AM,70.190,4.102,,,,,
