watershed,site,date,time,adj_wtr_ht,level_flag
fool,fc2,2020-08-16,21:20,172,In Range
fool,fc2,2020-08-16,21:30,172,In Range
fool,fc2,2020-08-16,21:40,172,In Range
fool,fc2,2020-08-16,21:50,172,In Range
fool,fc2,2020-08-16,22:00,172,In Range
fool,fc2,2020-08-16,22:10,172,In Range
fool,fc2,2020-08-16,22:20,172,In Range
fool,fc2,2020-08-16,22:30,172,In Range
fool,fc2,2020-08-16,22:40,172,In Range
fool,fc2,2020-08-16,22:50,172,In Range
fool,fc2,2020-08-16,23:00,173,In Range
fool,fc2,2020-08-16,23:10,173,In Range
fool,fc2,2020-08-16,23:20,173,In Range
fool,fc2,2020-08-16,23:30,173,In Range
fool,fc2,2020-08-16,23:40,172,In Range
fool,fc2,2020-08-16,23:50,172,In Range
fool,fc2,2020-08-17,00:00,172,In Range
fool,fc2,2020-08-17,00:10,173,In Range
fool,fc2,2020-08-17,00:20,172,In Range
fool,fc2,2020-08-17,00:30,173,In Range
fool,fc2,2020-08-17,00:40,173,In Range
fool,fc2,2020-08-17,00:50,173,In Range
fool,fc2,2020-08-17,01:00,173,In Range
fool,fc2,2020-08-17,01:10,173,In Range
fool,fc2,2020-08-17,01:20,173,In Range
fool,fc2,2020-08-17,01:30,173,In Range
fool,fc2,2020-08-17,01:40,173,In Range
fool,fc2,2020-08-17,01:50,173,In Range
fool,fc2,2020-08-17,02:00,173,In Range
fool,fc2,2020-08-17,02:10,173,In Range
fool,fc2,2020-08-17,02:20,173,In Range
fool,fc2,2020-08-17,02:30,173,In Range
fool,fc2,2020-08-17,02:40,173,In Range
fool,fc2,2020-08-17,02:50,173,In Range
fool,fc2,2020-08-17,03:00,173,In Range
fool,fc2,2020-08-17,03:10,173,In Range
fool,fc2,2020-08-17,03:20,173,In Range
fool,fc2,2020-08-17,03:30,173,In Range
fool,fc2,2020-08-17,03:40,173,In Range
fool,fc2,2020-08-17,03:50,173,In Range
fool,fc2,2020-08-17,04:00,173,In Range
fool,fc2,2020-08-17,04:10,173,In Range
fool,fc2,2020-08-17,04:20,173,In Range
fool,fc2,2020-08-17,04:30,173,In Range
fool,fc2,2020-08-17,04:40,173,In Range
fool,fc2,2020-08-17,04:50,173,In Range
fool,fc2,2020-08-17,05:00,173,In Range
fool,fc2,2020-08-17,05:10,173,In Range
fool,fc2,2020-08-17,05:20,173,In Range
fool,fc2,2020-08-17,05:30,173,In Range
fool,fc2,2020-08-17,05:40,173,In Range
fool,fc2,2020-08-17,05:50,173,In Range
fool,fc2,2020-08-17,06:00,173,In Range
fool,fc2,2020-08-17,06:10,173,In Range
fool,fc2,2020-08-17,06:20,173,In Range
fool,fc2,2020-08-17,06:30,173,In Range
fool,fc2,2020-08-17,06:40,173,In Range
fool,fc2,2020-08-17,06:50,173,In Range
fool,fc2,2020-08-17,07:00,173,In Range
fool,fc2,2020-08-17,07:10,173,In Range
fool,fc2,2020-08-17,07:20,173,In Range
fool,fc2,2020-08-17,07:30,173,In Range
fool,fc2,2020-08-17,07:40,173,In Range
fool,fc2,2020-08-17,07:50,173,In Range
fool,fc2,2020-08-17,08:00,173,In Range
fool,fc2,2020-08-17,08:10,173,In Range
fool,fc2,2020-08-17,08:20,173,In Range
fool,fc2,2020-08-17,08:30,173,In Range
fool,fc2,2020-08-17,08:40,173,In Range
fool,fc2,2020-08-17,08:50,173,In Range
fool,fc2,2020-08-17,09:00,173,In Range
fool,fc2,2020-08-17,09:10,173,In Range
fool,fc2,2020-08-17,09:20,173,In Range
fool,fc2,2020-08-17,09:30,173,In Range
fool,fc2,2020-08-17,09:40,173,In Range
fool,fc2,2020-08-17,09:50,173,In Range
fool,fc2,2020-08-17,10:00,173,In Range
fool,fc2,2020-08-17,10:10,173,In Range
fool,fc2,2020-08-17,10:20,173,In Range
fool,fc2,2020-08-17,10:30,173,In Range
fool,fc2,2020-08-17,10:40,173,In Range
fool,fc2,2020-08-17,10:50,173,In Range
fool,fc2,2020-08-17,11:00,173,In Range
fool,fc2,2020-08-17,11:10,173,In Range
fool,fc2,2020-08-17,11:20,173,In Range
fool,fc2,2020-08-17,11:30,173,In Range
fool,fc2,2020-08-17,11:40,173,In Range
fool,fc2,2020-08-17,11:50,173,In Range
fool,fc2,2020-08-17,12:00,173,In Range
fool,fc2,2020-08-17,12:10,173,In Range
fool,fc2,2020-08-17,12:20,173,In Range
fool,fc2,2020-08-17,12:30,173,In Range
fool,fc2,2020-08-17,12:40,173,In Range
fool,fc2,2020-08-17,12:50,173,In Range
fool,fc2,2020-08-17,13:00,173,In Range
fool,fc2,2020-08-17,13:10,173,In Range
fool,fc2,2020-08-17,13:20,173,In Range
fool,fc2,2020-08-17,13:30,174,In Range
fool,fc2,2020-08-17,13:40,174,In Range
fool,fc2,2020-08-17,13:50,174,In Range
fool,fc2,2020-08-17,14:00,174,In Range
fool,fc2,2020-08-17,14:10,174,In Range
fool,fc2,2020-08-17,14:20,173,In Range
fool,fc2,2020-08-17,14:30,173,In Range
fool,fc2,2020-08-17,14:40,173,In Range
fool,fc2,2020-08-17,14:50,173,In Range
fool,fc2,2020-08-17,15:00,173,In Range
fool,fc2,2020-08-17,15:10,173,In Range
fool,fc2,2020-08-17,15:20,173,In Range
fool,fc2,2020-08-17,15:30,173,In Range
fool,fc2,2020-08-17,15:40,173,In Range
fool,fc2,2020-08-17,15:50,173,In Range
fool,fc2,2020-08-17,16:00,173,In Range
fool,fc2,2020-08-17,16:10,173,In Range
fool,fc2,2020-08-17,16:20,173,In Range
fool,fc2,2020-08-17,16:30,173,In Range
fool,fc2,2020-08-17,16:40,173,In Range
fool,fc2,2020-08-17,16:50,173,In Range
fool,fc2,2020-08-17,17:00,173,In Range
fool,fc2,2020-08-17,17:10,173,In Range
fool,fc2,2020-08-17,17:20,173,In Range
fool,fc2,2020-08-17,17:30,173,In Range
fool,fc2,2020-08-17,17:40,173,In Range
fool,fc2,2020-08-17,17:50,173,In Range
fool,fc2,2020-08-17,18:00,173,In Range
fool,fc2,2020-08-17,18:10,173,In Range
fool,fc2,2020-08-17,18:20,173,In Range
fool,fc2,2020-08-17,18:30,173,In Range
fool,fc2,2020-08-17,18:40,173,In Range
fool,fc2,2020-08-17,18:50,173,In Range
fool,fc2,2020-08-17,19:00,173,In Range
fool,fc2,2020-08-17,19:10,173,In Range
fool,fc2,2020-08-17,19:20,173,In Range
fool,fc2,2020-08-17,19:30,173,In Range
fool,fc2,2020-08-17,19:40,173,In Range
fool,fc2,2020-08-17,19:50,173,In Range
fool,fc2,2020-08-17,20:00,173,In Range
fool,fc2,2020-08-17,20:10,173,In Range
fool,fc2,2020-08-17,20:20,173,In Range
fool,fc2,2020-08-17,20:30,173,In Range
fool,fc2,2020-08-17,20:40,173,In Range
fool,fc2,2020-08-17,20:50,173,In Range
fool,fc2,2020-08-17,21:00,173,In Range
fool,fc2,2020-08-17,21:10,173,In Range
fool,fc2,2020-08-17,21:20,173,In Range
fool,fc2,2020-08-17,21:30,173,In Range
fool,fc2,2020-08-17,21:40,173,In Range
fool,fc2,2020-08-17,21:50,173,In Range
fool,fc2,2020-08-17,22:00,173,In Range
fool,fc2,2020-08-17,22:10,173,In Range
fool,fc2,2020-08-17,22:20,173,In Range
fool,fc2,2020-08-17,22:30,173,In Range
fool,fc2,2020-08-17,22:40,173,In Range
fool,fc2,2020-08-17,22:50,173,In Range
fool,fc2,2020-08-17,23:00,173,In Range
fool,fc2,2020-08-17,23:10,173,In Range
fool,fc2,2020-08-17,23:20,173,In Range
fool,fc2,2020-08-17,23:30,173,In Range
fool,fc2,2020-08-17,23:40,173,In Range
fool,fc2,2020-08-17,23:50,173,In Range
fool,fc2,2020-08-18,00:00,173,In Range
fool,fc2,2020-08-18,00:10,173,In Range
fool,fc2,2020-08-18,00:20,173,In Range
fool,fc2,2020-08-18,00:30,173,In Range
fool,fc2,2020-08-18,00:40,173,In Range
fool,fc2,2020-08-18,00:50,173,In Range
fool,fc2,2020-08-18,01:00,173,In Range
fool,fc2,2020-08-18,01:10,173,In Range
fool,fc2,2020-08-18,01:20,173,In Range
fool,fc2,2020-08-18,01:30,173,In Range
fool,fc2,2020-08-18,01:40,173,In Range
fool,fc2,2020-08-18,01:50,173,In Range
fool,fc2,2020-08-18,02:00,173,In Range
fool,fc2,2020-08-18,02:10,173,In Range
fool,fc2,2020-08-18,02:20,173,In Range
fool,fc2,2020-08-18,02:30,173,In Range
fool,fc2,2020-08-18,02:40,173,In Range
fool,fc2,2020-08-18,02:50,173,In Range
fool,fc2,2020-08-18,03:00,173,In Range
fool,fc2,2020-08-18,03:10,173,In Range
fool,fc2,2020-08-18,03:20,173,In Range
fool,fc2,2020-08-18,03:30,173,In Range
fool,fc2,2020-08-18,03:40,173,In Range
fool,fc2,2020-08-18,03:50,173,In Range
fool,fc2,2020-08-18,04:00,173,In Range
fool,fc2,2020-08-18,04:10,173,In Range
fool,fc2,2020-08-18,04:20,173,In Range
fool,fc2,2020-08-18,04:30,173,In Range
